task,labels,bbox,modality,labels_present,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,slice_time_sec
Task06_Lung,1,5,CT,1.0,0.7244582034149962,0.5439164068299925,0.6478342242019303,0.2959793615441722,1030.6852264291017,1077.8069784706756,1173.2190051967334,262144.0,0.3503439495174462
Task04_Hippocampus,"1, 2",20,MRI,1.3315749811605124,0.17655998492840994,0.053936623963828194,0.21891394122079877,0.22311612660135646,1126.9216277317257,556.1492087415222,128.71590052750565,1777.1657874905802,0.30783624717407687
Task03_Liver,2,3,CT,1.0,0.5175671449067432,0.222724725011956,0.5161801052128168,0.24739383070301293,6055.270683883309,6399.27881396461,2969.0717360114777,262144.0,0.3576864658058345
Task03_Liver,2,20,CT,1.0,0.3019295074127212,0.06332367288378765,0.3595672883787661,0.04033921568627451,8390.923959827833,8952.165949306553,2969.0717360114777,262144.0,0.3571527020564323
Task03_Liver,1,20,CT,1.0,0.6913138248847926,0.22967526183493922,0.6298555090071218,0.11408749476330123,20692.360703812315,22166.39107666527,17386.16401340595,262144.0,0.36192015081692497
Task09_Spleen,1,20,CT,1.0,0.5498925784966698,0.2153665080875357,0.6884543292102758,0.09954500475737392,5114.517602283539,6754.241674595623,3985.7583254043766,262144.0,0.359537297811608
Task10_Colon,1,15,CT,1.0,0.5144126394052045,0.18166394052044607,0.616928996282528,0.18707416356877327,2870.5855018587363,2503.972118959108,1347.2881040892194,262144.0,0.38008085501858735
Task01_BrainTumour,"1, 2, 3",10,FLAIR,2.365021328458257,0.6293736745886656,0.27538964046313225,0.5869565508836075,0.24061736745886658,2761.56337599025,2134.78366849482,1615.8924436319317,57600.0,0.3087109689213894
Task04_Hippocampus,"1, 2",5,MRI,1.3315749811605124,0.4219057272042201,0.2846922381311228,0.488023436322532,0.457961115297664,336.3293142426526,218.1303692539563,128.71590052750565,1777.1657874905802,0.30011755840241144
Task01_BrainTumour,"1, 2, 3",3,FLAIR,2.365021328458257,0.7431864411943937,0.4599487507617307,0.7188816270566727,0.44775667276051195,2038.682510664229,1505.9192565508836,1615.8924436319317,57600.0,0.31317026203534426
Task01_BrainTumour,"1, 2, 3",0,FLAIR,2.2878388386905644,0.7260866508665381,0.5138186016886387,0.6033276788623907,0.35490697081913797,1814.2586579765962,1266.4256554584506,1481.1736039105317,57600.0,0.8350764271959709
Task02_Heart,1,20,MRI,1.0,0.48144293116210213,0.18150895632864544,0.36424374537379717,0.1488683197631384,1787.977054034049,2001.8097705403404,692.0910436713546,102400.0,0.3295959289415248
Task06_Lung,1,10,CT,1.0,0.5980867854491463,0.44624105419450627,0.5575095025983668,0.18210244988864144,1124.9532293986638,1549.6555308092056,1173.2190051967334,262144.0,0.3669455085374907
Task07_Pancreas,"1, 2",15,CT,1.3199233716475096,0.6204253512132824,0.2584518518518518,0.6717383780332056,0.21705740740740742,3622.846104725415,4106.043422733078,2200.286079182631,262144.0,0.3923617496807152
Task03_Liver,2,0,CT,1.0,0.5465442280945758,0.3713130458970793,0.45744123783031987,0.2183175938803894,4918.325312934631,5566.155076495133,2568.1771905424202,262144.0,0.34847670375521556
Task10_Colon,1,0,CT,1.0,0.742274552529183,0.4765626459143969,0.592580233463035,0.29954793774319066,1842.6093385214008,1203.5758754863814,1407.3431906614785,262144.0,0.3359160311284047
Task03_Liver,1,5,CT,1.0,0.8051353791369921,0.3623929199832425,0.7545514243820696,0.24392322999581062,19480.27461248429,19402.297653958944,17386.16401340595,262144.0,0.42301325932132383
Task05_Prostate,"1, 2",5,T2,1.6357894736842105,0.8599631578947368,0.3276856842105263,0.8679595789473684,0.41643705263157893,3832.0084210526315,3158.6084210526315,3437.221052631579,99623.34315789473,0.3163757894736842
Task05_Prostate,"1, 2",20,T2,1.6357894736842105,0.694342947368421,0.1250656842105263,0.6314616842105263,0.051118526315789475,5322.532631578947,5650.905263157894,3437.221052631579,99623.34315789473,0.3301437894736842
